state,district,trend_slope,mean_cases,recent_3yr_mean,early_3yr_mean,pct_change_early_to_recent
Arunachal Pradesh,Upper Subansiri,-28.73749196141465,513.5,0.0,540.0,-100.0
Assam,Karbi Anglong,-817.8446937014959,3795.133333333333,0.0,13504.0,-100.0
Haryana,Jind,-91.64615384615823,1082.12,0.0,47.666666666666664,-100.0
Haryana,Kaithal,-29.634615384616588,330.28,0.0,1.0,-100.0
Karnataka,A.M.U. Almatti#,-62.612307692308605,476.36,0.0,1284.6666666666667,-100.0
Rajasthan,Sawai Madhopur,-101.82923076923288,874.92,0.0,2086.6666666666665,-100.0
Madhya Pradesh,Tikamgarh,-60.05769230769301,981.6,0.0,1545.6666666666667,-100.0
Arunachal Pradesh,East Kameng,-90.92525971138666,717.0,0.0,1976.6666666666667,-100.0
Andhra Pradesh,West Godavari,-19.22000000000033,474.0,0.0,390.6666666666667,-100.0
Arunachal Pradesh,East Siang,-524.934455445544,3585.7916666666665,0.0,10966.666666666666,-100.0
Arunachal Pradesh,Dibang Valley,-228.030168589176,1240.0833333333333,0.0,5945.5,-100.0
Uttar Pradesh,Saharanpur,-10.006923076923137,1012.36,0.0,715.0,-100.0
Uttar Pradesh,Mainpuri,-117.31076923077266,1100.64,0.0,1218.6666666666667,-100.0
Maharashtra,Nanded,-68.52153846154005,513.84,0.0,1034.6666666666667,-100.0
Karnataka,Chitradurga,-912.1330769230901,4559.84,0.6666666666666666,33716.666666666664,-99.99802273850717
