state,district,trend_slope,mean_cases,recent_3yr_mean,early_3yr_mean,pct_change_early_to_recent
Jharkhand,West Singhbhum,141.59538461538517,13784.24,10727.666666666666,4959.0,116.3272165087047
Tripura,Dhalai,270.80181015453127,4488.210526315789,8829.666666666666,1117.3333333333333,690.2446300715991
Mizoram,Lawngtlai,232.31781101291762,3245.9523809523807,5273.0,125.0,4118.4
Mizoram,Lunglei,19.73722456633881,3031.4210526315787,2964.6666666666665,2422.0,22.4057252958987
Jharkhand,Godda,-99.64486486485704,3242.1666666666665,2570.0,1829.6666666666667,40.46274366915649
Mizoram,Mamit,42.61757754800605,1832.1904761904761,1856.6666666666667,1184.0,56.813063063063076
Jharkhand,Pakur,-60.5238461538485,2144.52,1600.3333333333333,1914.0,-16.388018112156047
West Bengal,Murshidabad,13.61304347826037,1603.2,1156.6666666666667,75.66666666666667,1428.63436123348
Uttar Pradesh,Hardoi,58.46769230769308,513.76,974.0,157.33333333333334,519.0677966101695
West Bengal,Howrah,16.067692307691683,1245.2,899.3333333333334,59.0,1424.2937853107346
West Bengal,24 Paraganas North,10.86000000000012,594.32,725.6666666666666,172.0,321.8992248062016
West Bengal,24 Paraganas South,-2.2438461538467074,743.76,713.6666666666666,682.6666666666666,4.541015625
Uttar Pradesh,Shahjahanpur,17.158461538461825,177.84,382.6666666666667,105.66666666666667,262.1451104100946
West Bengal,Basirhat Hd#,11.414712397831128,171.5,334.0,38.666666666666664,763.7931034482759
West Bengal,Hooghly,6.090000000000108,177.04,240.66666666666666,83.0,189.9598393574297
