state,sum,mean,median,std,max
Odisha,4342714,6893.196825396825,2410.5,10016.479512665755,69867
Jharkhand,2726376,5002.5247706422015,2657.0,6521.08231243711,42045
Chhattisgarh,2194032,5162.428235294117,1872.0,8058.240697674255,44298
Madhya Pradesh,1717206,1449.1189873417723,797.0,2159.374694864998,25336
Uttar Pradesh,1586329,925.5128354725788,200.5,3186.506321903598,46717
Gujarat,1207918,1519.3937106918238,510.0,3047.5031117840053,34505
Karnataka,1028867,1281.2789539227895,122.0,3671.0018850163224,64195
Rajasthan,994860,1251.3962264150944,587.0,2630.272967174647,38777
West Bengal,952669,2631.682320441989,327.5,9706.279741607794,96693
Assam,853280,1347.9936808846762,151.0,2613.2401452836352,18178
Maharashtra,646716,813.4792452830188,197.0,1960.0789355948536,21928
Tamil Nadu,396711,483.7939024390244,19.0,2702.9384751960924,31861
Arunachal Pradesh,367605,959.8041775456919,100.0,2056.6680420950706,13122
Andhra Pradesh,364865,1180.7928802588997,393.0,2444.486423064475,31159
Tripura,323041,2392.8962962962964,1001.0,3359.3745937014933,14909
Haryana,320665,628.7549019607843,94.5,1435.7988872821022,9463
Mizoram,191706,1183.3703703703704,301.0,1840.2495539953234,8890
Himachal Pradesh,181074,710.0941176470589,8.0,2130.6989017701762,14635
Meghalaya,160512,1371.8974358974358,321.0,2159.6437780362326,11525
Telangana,101621,273.1747311827957,20.0,811.6977476485094,7874
Bihar,69113,75.12282608695652,3.0,264.4922314572845,3902
Goa,58181,1353.046511627907,586.0,1987.4872141366318,8780
Nagaland,56655,200.90425531914894,92.0,313.7464943014569,2552
Kerala,41734,119.24,89.0,101.46307697156976,712
Andaman And Nicobar Islands,30951,644.8125,284.5,1060.0491890684511,5096
Punjab,28258,57.66938775510204,13.0,110.43904240602117,623
Uttarakhand,25299,77.84307692307692,4.0,174.1953015351536,1101
Manipur,19007,63.996632996633,8.0,140.6362832906721,1396
Jammu & Kashmir,10573,47.200892857142854,9.0,135.40687663982095,1748
Chandigarh,4896,195.84,157.0,167.95725646723335,582
The Dadra And Nagar Haveli And Daman And Diu,2305,46.1,17.5,59.15915924393261,251
Sikkim,1170,11.470588235294118,2.0,25.753479389019493,143
Puducherry,412,5.493333333333333,3.0,7.582649706835769,39
Lakshadweep,90,3.6,2.0,3.640054944640259,11
Jammu And Kashmir,25,0.8928571428571429,0.0,2.131584104287418,10
Ladakh,13,0.325,0.0,1.141018438467616,5
