year,state,district,total_cases,total_deaths,state_is_unknown
2000,Unknown,Visakhapatanam,16163,2,True
2000,Unknown,Pashchim Champaran,4,0,True
2000,Unknown,Dantewada,20569,4,True
2000,Unknown,Kabirdham,1432,0,True
2000,Unknown,Kanker,69931,7,True
2000,Unknown,Haveli,2415,0,True
2000,Unknown,New Delhi,2631,0,True
2000,Unknown,Doda,231,0,True
2000,Unknown,Jammu,347,0,True
2000,Unknown,Kathua,84,0,True
2000,Unknown,Poonch,477,0,True
2000,Unknown,Rajouri,1748,0,True
2000,Unknown,Udhampur,153,0,True
2000,Unknown,A.M.U. Kembhavi#,440,0,True
2000,Unknown,Thiruvananthapuram,179,1,True
2000,Unknown,Khargone,2100,0,True
2000,Unknown,Mumbai,11222,5,True
2000,Unknown,Garo Hills,7052,5,True
2000,Unknown,Khasi Hills,2654,2,True
2000,Unknown,Chhimtuipui#,1211,2,True
2000,Unknown,Pondicherry,118,0,True
2000,Unknown,Aranthangi#,26,0,True
2000,Unknown,Cheyyar#,82,0,True
2000,Unknown,Dharapuram#,5,0,True
2000,Unknown,Kanchipuram,9,0,True
2000,Unknown,Kovilpatti#,42,0,True
2000,Unknown,Palani#,11,0,True
2000,Unknown,Paramakudi#,105,0,True
2000,Unknown,Poonamallee#,1605,0,True
2000,Unknown,Ramanathapuram,814,0,True
2000,Unknown,Sivakasi#,24,0,True
2000,Unknown,Tuticorin,1313,0,True
2000,Unknown,Villupuram,168,0,True
2000,Unknown,Kushi Nagar,168,0,True
2000,Unknown,Maharajganj,139,0,True
2000,Unknown,Sant Kabeer Nagar,0,0,True
2000,Unknown,Shravasti,19,0,True
2000,Unknown,Siddharth Nagar,47,0,True
2000,Unknown,Udam Singh Nagar,805,0,True
2000,Unknown,Arambagh#,163,0,True
2000,Unknown,Barrackpore#,4,0,True
2000,Unknown,Chandan Nagar#,22,0,True
2000,Unknown,Contai#,350,0,True
2000,Unknown,Dinajpur Dakshin,148,0,True
2000,Unknown,Dinajpur Uttar,230,0,True
2000,Unknown,Ghatal#,87,0,True
2000,Unknown,Jangipur (N)#,391,0,True
2000,Unknown,Kalna#,39,0,True
2000,Unknown,Kandi#,109,0,True
2000,Unknown,Katwa#,14,0,True
2000,Unknown,Kmuho#,412,0,True
2000,Unknown,Maldah,793,0,True
2000,Unknown,Midnapur,1582,0,True
2000,Unknown,Serampore#,21,0,True
2000,Unknown,Tamluk#,598,1,True
2000,Unknown,Uluberia#,370,0,True
2000,Unknown,Vishnupur#,127,3,True
2001,Unknown,Visakhapatanam,17124,0,True
2001,Unknown,Pashchim Champaran,0,0,True
