state,year,blood_slides_tested,positive_cases,pf_cases,deaths,is_partial_year,year_clean,flag_positive_gt_tested,flag_pf_gt_positive,slide_positivity_rate,pf_percentage,case_fatality_rate,testing_intensity,positive_cases_lag1,cases_yoy_change_pct,positive_cases_roll2
Andaman And Nicobar Islands,2022,31737.0,50.0,20.0,0.0,False,2022,False,False,0.15754482150171722,40.0,0.0,0.7951783683021061,,,
Andaman And Nicobar Islands,2023,38986.0,42.0,11.0,0.0,False,2023,False,False,0.10773098035192119,26.190476190476193,0.0,0.9768038524947509,50.0,-16.0,
Andaman And Nicobar Islands,2024,47413.0,96.0,46.0,0.0,False,2024,False,False,0.20247611414590935,47.91666666666667,0.0,1.187944417440456,42.0,128.57142857142858,46.0
Andaman And Nicobar Islands,2025,55701.0,48.0,25.0,0.0,False,2025,False,False,0.08617439543275704,52.083333333333336,0.0,1.3956023030782876,96.0,-50.0,69.0
Andaman And Nicobar Islands,2026(upto June),25722.0,28.0,21.0,0.0,True,2026,False,False,0.1088562320192831,75.0,0.0,0.644471058684399,,,
Andhra Pradesh,2022,8653048.0,2022.0,1457.0,0.0,False,2022,False,False,0.02336748854276551,72.05736894164194,0.0,0.8539133904324178,,,
Andhra Pradesh,2023,10294202.0,5268.0,4437.0,0.0,False,2023,False,False,0.0511744378048925,84.2255125284738,0.0,1.0158682734241364,2022.0,160.5341246290801,
Andhra Pradesh,2024,12364281.0,7866.0,6201.0,3.0,False,2024,False,False,0.06361874176104539,78.83295194508008,0.03813882532418002,1.2201509929182324,5268.0,49.31662870159453,3645.0
Andhra Pradesh,2025,12898436.0,7878.0,6356.0,8.0,False,2025,False,False,0.061077172457187835,80.68037572988068,0.10154861640010156,1.2728632981159418,7866.0,0.15255530129672007,6567.0
Andhra Pradesh,2026(upto June),6457045.0,3552.0,3011.0,5.0,True,2026,False,False,0.05500968322196918,84.76914414414415,0.14076576576576577,0.6372040451092714,,,
Arunachal Pradesh,2022,136563.0,18.0,3.0,0.0,False,2022,False,False,0.013180729773071768,16.666666666666664,0.0,0.9432279845782573,,,
Arunachal Pradesh,2023,168521.0,11.0,5.0,0.0,False,2023,False,False,0.0065273764100616544,45.45454545454545,0.0,1.163958928766302,18.0,-38.88888888888889,
Arunachal Pradesh,2024,158497.0,19.0,2.0,0.0,False,2024,False,False,0.01198760859827,10.526315789473683,0.0,1.0947240897732187,11.0,72.72727272727273,14.5
Arunachal Pradesh,2025,185359.0,32.0,11.0,0.0,False,2025,False,False,0.017263796200885848,34.375,0.0,1.2802574342496957,19.0,68.42105263157895,15.0
Arunachal Pradesh,2026(upto June),74973.0,6.0,2.0,0.0,True,2026,False,False,0.008002881037173382,33.33333333333333,0.0,0.5178315626325263,,,
Assam,2022,4139536.0,280.0,118.0,0.0,False,2022,False,False,0.006764043119808597,42.142857142857146,0.0,0.8603742839802798,,,
Assam,2023,4712599.0,567.0,283.0,0.0,False,2023,False,False,0.012031577479857718,49.91181657848324,0.0,0.9794815144284729,280.0,102.49999999999999,
Assam,2024,6510331.0,5036.0,1130.0,7.0,False,2024,False,False,0.0773539778545822,22.43844320889595,0.13899920571882446,1.3531278318631894,567.0,788.1834215167548,423.5
Assam,2025,6022592.0,3995.0,519.0,3.0,False,2025,False,False,0.06633356534860738,12.991239048811012,0.0750938673341677,1.2517546120399392,5036.0,-20.67116759332804,2801.5
Assam,2026(upto June),2671542.0,1296.0,278.0,0.0,True,2026,False,False,0.048511309198957006,21.450617283950617,0.0,0.5552617576881188,,,
Bihar,2022,176335.0,578.0,208.0,0.0,False,2022,False,False,0.3277851816145405,35.98615916955018,0.0,0.7779116930051254,,,
Bihar,2023,225722.0,1257.0,519.0,0.0,False,2023,False,False,0.5568797015798194,41.288782816229116,0.0,0.9957851995831962,578.0,117.47404844290656,
