state,district,Elevation_m,Water_Occurrence_pct,NDVI_2024,total_cases,nearest_neighbor_district,nearest_neighbor_state,env_distance,neighbor_cases,case_ratio,case_gap_ratio
Rajasthan,Bhilwara,431.019827425438,19.208432357903096,0.4326235016923065,2162.2,Narayanpet,Telangana,0.08463677723059028,0.8333333333333334,2594.64,2594.64
Telangana,Narayanpet,474.5416309647142,19.18144848069405,0.43273592938419175,0.8333333333333334,Bhilwara,Rajasthan,0.08463677723059028,2162.2,0.00038540992199303186,2594.6399999999994
Bihar,Sheohar,66.3856401222888,16.028408436094402,0.5276604188531459,0.4,Chandauli,Uttar Pradesh,0.07790064935632976,327.04,0.001223091976516634,817.6
Uttar Pradesh,Chandauli,81.85664829604421,16.801268730176094,0.5207089966663031,327.04,Sheohar,Bihar,0.07790064935632976,0.4,817.6,817.6
Telangana,Vikarabad,515.2468699881211,31.12376433372848,0.4891431101496033,3.875,Seoni,Madhya Pradesh,0.046735472513993286,2418.28,0.0016023785500438328,624.0722580645162
Madhya Pradesh,Seoni,508.2439046247499,30.750943396226425,0.4937032983326421,2418.28,Vikarabad,Telangana,0.046735472513993286,3.875,624.0722580645162,624.0722580645162
Assam,Charaideo,106.79469544291176,35.08765523925516,0.6111093958691207,0.75,Mulugu,Telangana,0.07482215370764818,141.5,0.00530035335689046,188.66666666666666
Telangana,Mulugu,138.3459833162513,34.26028326689846,0.6136523551852061,141.5,Charaideo,Assam,0.07482215370764818,0.75,188.66666666666666,188.66666666666666
Odisha,Anugul,129.92213357800543,38.6958294454134,0.49384838542155657,10843.6,Tirunelveli,Tamil Nadu,0.08997958129699121,61.56,176.14684860298894,176.14684860298894
Gujarat,Kheda,51.80065504473354,19.157943925233653,0.5033464786085408,3923.56,Madhubani,Bihar,0.04584360937033172,22.6,173.60884955752212,173.60884955752212
Bihar,Madhubani,59.86624396423813,19.12426896715976,0.4986342043016667,22.6,Kheda,Gujarat,0.04584360937033172,3923.56,0.005760075033897787,173.60884955752212
Uttar Pradesh,Azamgarh,81.72542149190103,17.620381586917066,0.4728555025219082,9.12,Bhadohi,Uttar Pradesh,0.046191623239303314,1322.64,0.00689530030847396,145.0263157894737
Uttar Pradesh,Bhadohi,88.47787563976024,17.004021655065788,0.4689972750509318,1322.64,Azamgarh,Uttar Pradesh,0.046191623239303314,9.12,145.0263157894737,145.0263157894737
West Bengal,Alipurduar,48.43974164327886,44.9781543768627,0.55422110926401,254.88888888888889,Ariyalur,Tamil Nadu,0.07785695380024447,2.1538461538461537,118.34126984126985,118.34126984126985
Tamil Nadu,Ariyalur,76.72989572794775,45.147466736826104,0.5601978521742984,2.1538461538461537,Alipurduar,West Bengal,0.07785695380024447,254.88888888888889,0.008450137482395547,118.34126984126983
