state,per_capita_nsdp_rank,population_density_rank,literacy_rate_rank,imr_rank,rural_tele_density_rank,banking_access_rank,latrine_facility_rank,safe_water_rank,forest_cover_rank
Andhra Pradesh,13.0,16.0,25.0,20.0,12.0,12.0,9.0,20.0,10.0
Arunachal Pradesh,17.0,29.0,28.0,13.0,13.0,11.0,15.0,13.0,28.0
Assam,26.0,10.0,20.0,28.0,25.0,4.0,17.0,8.0,18.0
Bihar,29.0,2.0,29.0,22.0,28.0,5.0,3.0,26.0,6.0
Chhattisgarh,22.0,20.0,21.0,23.0,26.0,8.0,4.0,17.0,19.0
Delhi,2.0,1.0,5.0,7.0,1.0,25.0,27.0,27.0,8.0
Goa,1.0,11.0,4.0,1.0,4.0,28.0,23.0,16.0,23.0
Gujarat,6.0,15.0,13.0,17.0,8.0,15.0,13.0,19.0,5.0
Haryana,5.0,6.0,16.0,21.0,7.0,20.0,19.0,25.0,2.0
Himachal Pradesh,10.0,24.0,6.0,15.0,2.0,29.0,20.0,24.0,15.0
Jammu And Kashmir,20.0,27.0,24.0,18.0,20.0,22.0,10.0,10.0,7.0
Jharkhand,23.0,9.0,26.0,18.0,28.0,13.0,1.0,5.0,16.0
Karnataka,14.0,14.0,17.0,11.0,11.0,16.0,10.0,18.0,12.0
Kerala,8.0,4.0,1.0,3.0,6.0,24.0,29.0,1.0,21.0
Madhya Pradesh,24.0,18.0,22.0,28.0,26.0,7.0,5.0,11.0,14.0
Maharashtra,4.0,12.0,7.0,7.0,9.0,21.0,12.0,14.0,9.0
Manipur,27.0,23.0,11.0,2.0,13.0,1.0,26.0,3.0,25.0
Meghalaya,18.0,22.0,18.0,24.0,13.0,3.0,16.0,2.0,26.0
Mizoram,16.0,28.0,2.0,15.0,13.0,14.0,28.0,6.0,29.0
Nagaland,11.0,25.0,10.0,4.0,13.0,2.0,21.0,4.0,27.0
Odisha,25.0,17.0,19.0,27.0,22.0,6.0,1.0,9.0,17.0
Punjab,12.0,8.0,15.0,9.0,4.0,17.0,22.0,29.0,1.0
Rajasthan,21.0,19.0,27.0,24.0,10.0,19.0,6.0,12.0,3.0
Sikkim,3.0,26.0,8.0,6.0,13.0,18.0,25.0,15.0,22.0
Tamil Nadu,7.0,7.0,9.0,5.0,3.0,10.0,8.0,23.0,11.0
Tripura,15.0,13.0,3.0,9.0,13.0,26.0,24.0,7.0,24.0
Uttar Pradesh,28.0,5.0,23.0,26.0,23.0,23.0,7.0,28.0,4.0
Uttarakhand,9.0,21.0,12.0,13.0,23.0,27.0,18.0,21.0,20.0
West Bengal,19.0,3.0,14.0,14.0,21.0,8.0,14.0,21.0,13.0
