state,year,blood_slides_tested,positive_cases,pf_cases,deaths,is_partial_year,year_clean,flag_positive_gt_tested,flag_pf_gt_positive,slide_positivity_rate,pf_percentage,case_fatality_rate,testing_intensity,positive_cases_lag1,cases_yoy_change_pct,positive_cases_roll2,per_capita_nsdp_rank,population_density_rank,literacy_rate_rank,imr_rank,rural_tele_density_rank,banking_access_rank,latrine_facility_rank,safe_water_rank,forest_cover_rank
Andaman And Nicobar Islands,2022,31737.0,50.0,20.0,0.0,False,2022,False,False,0.1575448215017172,40.0,0.0,0.7951783683021061,,,,,,,,,,,,
Andaman And Nicobar Islands,2023,38986.0,42.0,11.0,0.0,False,2023,False,False,0.1077309803519211,26.190476190476197,0.0,0.9768038524947508,50.0,-16.0,,,,,,,,,,
Andaman And Nicobar Islands,2024,47413.0,96.0,46.0,0.0,False,2024,False,False,0.2024761141459093,47.91666666666667,0.0,1.187944417440456,42.0,128.57142857142858,46.0,,,,,,,,,
Andaman And Nicobar Islands,2025,55701.0,48.0,25.0,0.0,False,2025,False,False,0.086174395432757,52.083333333333336,0.0,1.3956023030782876,96.0,-50.0,69.0,,,,,,,,,
Andaman And Nicobar Islands,2026(upto June),25722.0,28.0,21.0,0.0,True,2026,False,False,0.1088562320192831,75.0,0.0,0.644471058684399,,,,,,,,,,,,
Andhra Pradesh,2022,8653048.0,2022.0,1457.0,0.0,False,2022,False,False,0.0233674885427655,72.05736894164194,0.0,0.8539133904324178,,,,13.0,16.0,25.0,20.0,12.0,12.0,9.0,20.0,10.0
Andhra Pradesh,2023,10294202.0,5268.0,4437.0,0.0,False,2023,False,False,0.0511744378048925,84.2255125284738,0.0,1.0158682734241364,2022.0,160.5341246290801,,13.0,16.0,25.0,20.0,12.0,12.0,9.0,20.0,10.0
Andhra Pradesh,2024,12364281.0,7866.0,6201.0,3.0,False,2024,False,False,0.0636187417610453,78.83295194508008,0.03813882532418,1.2201509929182324,5268.0,49.31662870159453,3645.0,13.0,16.0,25.0,20.0,12.0,12.0,9.0,20.0,10.0
Andhra Pradesh,2025,12898436.0,7878.0,6356.0,8.0,False,2025,False,False,0.0610771724571878,80.68037572988068,0.1015486164001015,1.2728632981159418,7866.0,0.15255530129672,6567.0,13.0,16.0,25.0,20.0,12.0,12.0,9.0,20.0,10.0
Andhra Pradesh,2026(upto June),6457045.0,3552.0,3011.0,5.0,True,2026,False,False,0.0550096832219691,84.76914414414415,0.1407657657657657,0.6372040451092714,,,,13.0,16.0,25.0,20.0,12.0,12.0,9.0,20.0,10.0
Arunachal Pradesh,2022,136563.0,18.0,3.0,0.0,False,2022,False,False,0.0131807297730717,16.666666666666664,0.0,0.9432279845782572,,,,17.0,29.0,28.0,13.0,13.0,11.0,15.0,13.0,28.0
Arunachal Pradesh,2023,168521.0,11.0,5.0,0.0,False,2023,False,False,0.0065273764100616,45.45454545454545,0.0,1.163958928766302,18.0,-38.88888888888889,,17.0,29.0,28.0,13.0,13.0,11.0,15.0,13.0,28.0
Arunachal Pradesh,2024,158497.0,19.0,2.0,0.0,False,2024,False,False,0.01198760859827,10.526315789473683,0.0,1.094724089773219,11.0,72.72727272727273,14.5,17.0,29.0,28.0,13.0,13.0,11.0,15.0,13.0,28.0
Arunachal Pradesh,2025,185359.0,32.0,11.0,0.0,False,2025,False,False,0.0172637962008858,34.375,0.0,1.2802574342496955,19.0,68.42105263157895,15.0,17.0,29.0,28.0,13.0,13.0,11.0,15.0,13.0,28.0
Arunachal Pradesh,2026(upto June),74973.0,6.0,2.0,0.0,True,2026,False,False,0.0080028810371733,33.33333333333333,0.0,0.5178315626325263,,,,17.0,29.0,28.0,13.0,13.0,11.0,15.0,13.0,28.0
Assam,2022,4139536.0,280.0,118.0,0.0,False,2022,False,False,0.0067640431198085,42.142857142857146,0.0,0.8603742839802798,,,,26.0,10.0,20.0,28.0,25.0,4.0,17.0,8.0,18.0
Assam,2023,4712599.0,567.0,283.0,0.0,False,2023,False,False,0.0120315774798577,49.91181657848324,0.0,0.9794815144284728,280.0,102.5,,26.0,10.0,20.0,28.0,25.0,4.0,17.0,8.0,18.0
Assam,2024,6510331.0,5036.0,1130.0,7.0,False,2024,False,False,0.0773539778545822,22.43844320889595,0.1389992057188244,1.3531278318631894,567.0,788.1834215167548,423.5,26.0,10.0,20.0,28.0,25.0,4.0,17.0,8.0,18.0
Assam,2025,6022592.0,3995.0,519.0,3.0,False,2025,False,False,0.0663335653486073,12.991239048811012,0.0750938673341677,1.2517546120399392,5036.0,-20.67116759332804,2801.5,26.0,10.0,20.0,28.0,25.0,4.0,17.0,8.0,18.0
Assam,2026(upto June),2671542.0,1296.0,278.0,0.0,True,2026,False,False,0.048511309198957,21.450617283950617,0.0,0.5552617576881188,,,,26.0,10.0,20.0,28.0,25.0,4.0,17.0,8.0,18.0
Bihar,2022,176335.0,578.0,208.0,0.0,False,2022,False,False,0.3277851816145405,35.98615916955018,0.0,0.7779116930051254,,,,29.0,2.0,29.0,22.0,28.0,5.0,3.0,26.0,6.0
Bihar,2023,225722.0,1257.0,519.0,0.0,False,2023,False,False,0.5568797015798194,41.28878281622912,0.0,0.9957851995831962,578.0,117.47404844290656,,29.0,2.0,29.0,22.0,28.0,5.0,3.0,26.0,6.0
Bihar,2024,225687.0,906.0,380.0,0.0,False,2024,False,False,0.4014409336824894,41.94260485651214,0.0,0.9956307951299952,1257.0,-27.9236276849642,917.5,29.0,2.0,29.0,22.0,28.0,5.0,3.0,26.0,6.0
Bihar,2025,354214.0,1041.0,399.0,0.0,False,2025,False,False,0.2938901342126511,38.328530259366,0.0,1.562634828174313,906.0,14.90066225165563,1081.5,29.0,2.0,29.0,22.0,28.0,5.0,3.0,26.0,6.0
Bihar,2026(upto June),151429.0,349.0,107.0,0.0,True,2026,False,False,0.2304710458366627,30.65902578796561,0.0,0.6680374841073702,,,,29.0,2.0,29.0,22.0,28.0,5.0,3.0,26.0,6.0
Chandigarh,2022,51828.0,2.0,0.0,0.0,False,2022,False,False,0.0038589179594041,0.0,0.0,0.8167137310271797,,,,,,,,,,,,
Chandigarh,2023,56066.0,2.0,0.0,0.0,False,2023,False,False,0.0035672243427389,0.0,0.0,0.8834967979426152,2.0,0.0,,,,,,,,,,
Chandigarh,2024,70924.0,2.0,0.0,0.0,False,2024,False,False,0.0028199199142744,0.0,0.0,1.1176314860571832,2.0,0.0,2.0,,,,,,,,,
Chandigarh,2025,100102.0,65.0,5.0,0.0,False,2025,False,False,0.0649337675570917,7.6923076923076925,0.0,1.5774229741314103,2.0,3150.0,2.0,,,,,,,,,
Chandigarh,2026(upto June),38376.0,7.0,0.0,0.0,True,2026,False,False,0.0182405670210548,0.0,0.0,0.6047350108416116,,,,,,,,,,,,
Chhattisgarh,2022,5815212.0,30029.0,25902.0,20.0,False,2022,False,False,0.5163870207999296,86.25661860201805,0.0666022844583569,0.9481079878291828,,,,22.0,20.0,21.0,23.0,26.0,8.0,4.0,17.0,19.0
Chhattisgarh,2023,6891223.0,31706.0,28167.0,15.0,False,2023,False,False,0.46009249736948,88.83807481233836,0.0473096574780798,1.1235400484474487,30029.0,5.584601551833228,,22.0,20.0,21.0,23.0,26.0,8.0,4.0,17.0,19.0
Chhattisgarh,2024,7835708.0,31373.0,27300.0,18.0,False,2024,False,False,0.4003850066898869,87.01749912345011,0.0573741752462308,1.2775282044914322,31706.0,-1.0502743960133727,30867.5,22.0,20.0,21.0,23.0,26.0,8.0,4.0,17.0,19.0
Chhattisgarh,2025,6987642.0,28836.0,25304.0,12.0,False,2025,False,False,0.4126713990213008,87.75142183381884,0.0416146483562213,1.1392601329565777,31373.0,-8.086571255538201,31539.5,22.0,20.0,21.0,23.0,26.0,8.0,4.0,17.0,19.0
Chhattisgarh,2026(upto June),3137671.0,9523.0,7995.0,0.0,True,2026,False,False,0.3035053707033019,83.95463614407225,0.0,0.5115636262753585,,,,22.0,20.0,21.0,23.0,26.0,8.0,4.0,17.0,19.0
Delhi,2022,46299.0,263.0,43.0,1.0,False,2022,False,False,0.5680468260653578,16.34980988593156,0.3802281368821292,0.3411396816648565,,,,2.0,1.0,5.0,7.0,1.0,25.0,27.0,27.0,8.0
Delhi,2023,65633.0,344.0,41.0,1.0,False,2023,False,False,0.5241265826642085,11.918604651162791,0.2906976744186046,0.4835962056785142,263.0,30.798479087452478,,2.0,1.0,5.0,7.0,1.0,25.0,27.0,27.0,8.0
Delhi,2024,224373.0,910.0,82.0,0.0,False,2024,False,False,0.4055746457907146,9.010989010989013,0.0,1.653222181779063,344.0,164.53488372093022,303.5,2.0,1.0,5.0,7.0,1.0,25.0,27.0,27.0,8.0
Delhi,2025,328650.0,941.0,118.0,0.0,False,2025,False,False,0.2863228358436026,12.539851222104144,0.0,2.4215545990011687,910.0,3.4065934065934065,627.0,2.0,1.0,5.0,7.0,1.0,25.0,27.0,27.0,8.0
Delhi,2026(upto June),13638.0,46.0,16.0,0.0,True,2026,False,False,0.3372928581903505,34.78260869565217,0.0,0.1004873318763971,,,,2.0,1.0,5.0,7.0,1.0,25.0,27.0,27.0,8.0
Goa,2022,249449.0,587.0,244.0,0.0,False,2022,False,False,0.2353186422876018,41.56729131175469,0.0,0.7605620833965995,,,,1.0,11.0,4.0,1.0,4.0,28.0,23.0,16.0,23.0
Goa,2023,319859.0,1346.0,488.0,0.0,False,2023,False,False,0.4208104195911323,36.2555720653789,0.0,0.9752399385571916,587.0,129.3015332197615,,1.0,11.0,4.0,1.0,4.0,28.0,23.0,16.0,23.0
Goa,2024,406527.0,884.0,286.0,0.0,False,2024,False,False,0.2174517313733159,32.35294117647059,0.0,1.2394879196828583,1346.0,-34.323922734026745,966.5,1.0,11.0,4.0,1.0,4.0,28.0,23.0,16.0,23.0
Goa,2025,457621.0,448.0,104.0,0.0,False,2025,False,False,0.0978976052235365,23.214285714285715,0.0,1.3952719039404256,884.0,-49.321266968325794,1115.0,1.0,11.0,4.0,1.0,4.0,28.0,23.0,16.0,23.0
